# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
1.000000e-01  -1.000000e+00  4.721875e-01  1.920594e-01  3.357531e-01  2.230115e-01  1.645111e-01  6.124774e-01  3.048011e-01  6.434294e-01  5.176949e-02
1.008683e-01  -1.000000e+00  4.761331e-01  1.982005e-01  3.256664e-01  3.305449e-01  4.675647e-01  2.018904e-01  1.933220e-01  3.342348e-01  4.724433e-01
1.017441e-01  -1.000000e+00  4.743488e-01  3.040668e-01  2.215844e-01  3.419896e-01  6.496829e-01  8.327408e-03  1.836616e-01  4.625026e-02  7.700882e-01
1.026276e-01  -1.000000e+00  4.905446e-01  3.811075e-01  1.283480e-01  2.585327e-01  5.204858e-01  2.209815e-01  2.509227e-01  9.840671e-02  6.506706e-01
1.035187e-01  -1.000000e+00  5.301463e-01  3.738712e-01  9.598250e-02  1.570360e-01  2.580083e-01  5.849558e-01  3.128177e-01  3.681205e-01  3.190617e-01
1.044175e-01  -1.000000e+00  5.846131e-01  3.075487e-01  1.078382e-01  8.975358e-02  8.554158e-02  8.247048e-01  3.256333e-01  6.069097e-01  6.745694e-02
1.053242e-01  -1.000000e+00  6.427350e-01  2.279374e-01  1.293276e-01  6.244477e-02  7.802349e-02  8.595317e-01  2.948203e-01  6.940391e-01  1.114067e-02
1.062387e-01  -1.000000e+00  6.972270e-01  1.629597e-01  1.398133e-01  5.812295e-02  1.878987e-01  7.539784e-01  2.446500e-01  6.491416e-01  1.062083e-01
1.071612e-01  -1.000000e+00  7.454637e-01  1.189001e-01  1.356362e-01  5.975398e-02  3.368918e-01  6.033542e-01  1.947823e-01  5.442081e-01  2.610096e-01
1.080917e-01  -1.000000e+00  7.875568e-01  9.091877e-02  1.215244e-01  5.820027e-02  4.701010e-01  4.716987e-01  1.542429e-01  4.389802e-01  4.067769e-01
1.090302e-01  -1.000000e+00  8.243543e-01  7.236030e-02  1.032854e-01  5.099842e-02  5.636301e-01  3.853715e-01  1.246473e-01  3.640096e-01  5.113431e-01
1.099769e-01  -1.000000e+00  8.562211e-01  5.899841e-02  8.478052e-02  3.910956e-02  6.116049e-01  3.492855e-01  1.046694e-01  3.293967e-01  5.659340e-01
1.109319e-01  -1.000000e+00  8.825055e-01  4.978655e-02  6.770800e-02  2.482844e-02  6.124377e-01  3.627338e-01  9.266611e-02  3.377757e-01  5.695582e-01
1.118951e-01  -1.000000e+00  9.014926e-01  4.606162e-02  5.244578e-02  1.115827e-02  5.619636e-01  4.268782e-01  8.734913e-02  3.919748e-01  5.206760e-01
1.128667e-01  -1.000000e+00  9.109617e-01  4.997549e-02  3.906285e-02  1.829197e-03  4.553004e-01  5.428704e-01  8.720914e-02  4.947241e-01  4.180668e-01
1.138467e-01  -1.000000e+00  9.097655e-01  6.211797e-02  2.811649e-02  7.990642e-04  2.982035e-01  7.009974e-01  8.943540e-02  6.396785e-01  2.708861e-01
1.148352e-01  -1.000000e+00  9.005947e-01  7.860093e-02  2.080436e-02  1.015946e-02  1.261058e-01  8.637347e-01  8.924582e-02  7.952932e-01  1.154609e-01
1.158323e-01  -1.000000e+00  8.926132e-01  8.948407e-02  1.790274e-02  2.652372e-02  1.916438e-02  9.543119e-01  8.086309e-02  8.913516e-01  2.778536e-02
1.168381e-01  -1.000000e+00  9.000895e-01  8.224897e-02  1.766155e-02  3.893997e-02  8.544565e-02  8.756144e-01  6.097055e-02  8.323054e-01  1.067241e-01
1.178526e-01  -1.000000e+00  9.324020e-01  5.251130e-02  1.508673e-02  3.437182e-02  3.816925e-01  5.839357e-01  3.322621e-02  5.657962e-01  4.009775e-01
1.188759e-01  -1.000000e+00  9.778673e-01  1.540651e-02  6.726211e-03  1.309705e-02  7.921137e-01  1.947893e-01  9.035669e-03  1.924798e-01  7.984845e-01
1.199081e-01  -1.000000e+00  9.997932e-01  1.469479e-04  5.989128e-05  1.478867e-04  9.997884e-01  6.373507e-05  5.895247e-05  6.467388e-05  9.998764e-01
1.209493e-01  -1.000000e+00  9.682397e-01  1.858230e-02  1.317798e-02  2.497852e-02  7.323453e-01  2.426761e-01  6.781761e-03  2.490724e-01  7.441459e-01
1.219995e-01  -1.000000e+00  9.110248e-01  3.982829e-02  4.914693e-02  7.154224e-02  1.907544e-01  7.377033e-01  1.743298e-02  7.694173e-01  2.131498e-01
1.230588e-01  -1.000000e+00  9.032890e-01  2.610880e-02  7.060219e-02  7.487191e-02  5.254687e-02  8.725812e-01  2.183907e-02  9.213443e-01  5.681659e-02
1.241273e-01  -1.000000e+00  9.570846e-01  1.617526e-03  4.129792e-02  2.348198e-02  5.937637e-01  3.827543e-01  1.943346e-02  4.046188e-01  5.759478e-01
1.252051e-01  -1.000000e+00  9.694188e-01  2.023661e-02  1.034463e-02  2.005790e-02  9.791452e-01  7.969079e-04  1.052333e-02  6.182009e-04  9.888585e-01
1.262923e-01  -1.000000e+00  8.959458e-01  4.676627e-02  5.728796e-02  1.025150e-01  4.607024e-01  4.367826e-01  1.539227e-03  4.925313e-01  5.059295e-01
1.273888e-01  -1.000000e+00  8.723802e-01  1.637129e-02  1.112485e-01  1.133769e-01  2.389630e-02  8.627268e-01  1.424284e-02  9.597324e-01  2.602475e-02
1.284950e-01  -1.000000e+00  9.358611e-01  6.939165e-03  5.719978e-02  2.850465e-02  6.425429e-01  3.289524e-01  3.563429e-02  3.505179e-01  6.138478e-01
