# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
1.000000e-01  -1.000000e+00  5.401308e-01  1.792404e-01  2.806288e-01  3.721877e-01  3.387454e-01  2.890669e-01  8.768147e-02  4.820142e-01  4.303044e-01
1.008683e-01  -1.000000e+00  5.283861e-01  2.423056e-01  2.293082e-01  3.553982e-01  5.358702e-01  1.087316e-01  1.162156e-01  2.218242e-01  6.619602e-01
1.017441e-01  -1.000000e+00  5.253174e-01  2.866752e-01  1.880073e-01  3.131244e-01  6.585575e-01  2.831803e-02  1.615581e-01  5.476722e-02  7.836746e-01
1.026276e-01  -1.000000e+00  5.261965e-01  3.076015e-01  1.662020e-01  2.640831e-01  6.882255e-01  4.769142e-02  2.097204e-01  4.173054e-03  7.861065e-01
1.035187e-01  -1.000000e+00  5.277603e-01  3.086705e-01  1.635693e-01  2.214529e-01  6.442404e-01  1.343067e-01  2.507868e-01  4.708916e-02  7.021240e-01
1.044175e-01  -1.000000e+00  5.284533e-01  2.971030e-01  1.744436e-01  1.910958e-01  5.596044e-01  2.492998e-01  2.804509e-01  1.432926e-01  5.762565e-01
1.053242e-01  -1.000000e+00  5.279850e-01  2.800970e-01  1.919180e-01  1.731829e-01  4.640034e-01  3.628137e-01  2.988322e-01  2.558996e-01  4.452682e-01
1.062387e-01  -1.000000e+00  5.267405e-01  2.630183e-01  2.102412e-01  1.648037e-01  3.768289e-01  4.583674e-01  3.084558e-01  3.601528e-01  3.313914e-01
1.071612e-01  -1.000000e+00  5.253129e-01  2.490796e-01  2.256075e-01  1.621441e-01  3.071711e-01  5.306848e-01  3.125431e-01  4.437493e-01  2.437076e-01
1.080917e-01  -1.000000e+00  5.242166e-01  2.398101e-01  2.359733e-01  1.618018e-01  2.568888e-01  5.813094e-01  3.139816e-01  5.033011e-01  1.827173e-01
